名称,住所
R_札幌駅前通,北海道札幌市中央区北4条西4丁目1-7MMS札幌駅前ビル1F?3F
R_札幌大通,北海道札幌市中央区大通西1-14-2桂和大通ビル509F
R_オープンオフィス札幌南,"北海道札幌市中央区北2条西2-32第37桂和ビル5F,6F"
R_札幌北ビル,北海道札幌市北区北七条西2-8-1札幌北ビル9F
R_アクア青森スクエア,"青森県青森市島2-13-1AQUA青森スクエア4F,6F"
R_八戸,青森県八戸市十三日町1ヴィアノヴァビル3F
R_盛岡中央通,岩手県盛岡市中央通1-7-35コアフィールドモリオカ（旧三井生命盛岡ビル）1F?3F
R_山形駅前,"山形県山形市幸町2-91F,2F"
R_秋田駅前,秋田県秋田市中通2-2-32山二ビル6F
R_仙台マークワン,宮城県仙台市青葉区中央1-2-3仙台マークワン19F
R_仙台花京院,"宮城県仙台市青葉区花京院2-1-61オークツリー仙台（旧タカノボル第5ビル）1F,2F"
R_リージャスクラックス仙台,宮城県仙台市青葉区一番町3-3-1クラックス仙台4F
R_オープンオフィス仙台青葉通り,宮城県仙台市青葉区中央2-2-10仙都会館5F
R_オープンオフィス仙台駅前,宮城県仙台市青葉区中央4-10-3JMFビル仙台01（旧仙台キャピタルタワー）2F
R_SPACES仙台,宮城県仙台市青葉区花京院1-2-15ソララプラザ3F
R_郡山駅前,福島県郡山市駅前二丁目3-7エリート30ビル
R_オープンオフィス郡山駅前1丁目,"福島県郡山市駅前1丁目7-6エリート28ビル1,2F"
R_高崎,群馬県高崎市栄町3番11号高崎バナーズビル3F?5F
R_大宮西口駅前,埼玉県さいたま市大宮区桜木町1丁目398-1アドグレイス大宮7F
R_大宮ウエスト,埼玉県さいたま市大宮区桜木町1-266-3シンワKIビル2F?5F
R_オープンオフィス大宮駅西口,埼玉県さいたま市大宮区桜木町1-366-91F?5F
R_Signature 日比谷ファースト,東京都千代田区有楽町1-13-2第一生命日比谷ファースト12F
R_有楽町イトシア,東京都千代田区有楽町2-7-1有楽町イトシア12F
R_大手町ファーストスクエア,東京都千代田区大手町1-5-1大手町ファーストスクエアイーストタワー4F
R_麹町,"東京都千代田区麹町4-5-20KSビル4F,7F,8F"
R_丸の内新国際ビル,東京都千代田区丸の内3-4-1新国際ビル8F
R_丸の内鉄鋼ビル,東京都千代田区丸の内1-8-2鉄鋼ビルディング4F
R_丸の内パシフィックセンチュリープレイス,"東京都千代田区丸の内1-11-1パシフィックセンチュリープレイス丸の内8F,13F"
R_秋葉原南,"東京都千代田区神田須田町2-25GYB秋葉原4F,5F"
R_神田,東京都千代田区神田須田町1-14ヒューリック神田須田町ビル1F?4F
R_オープンオフィス神保町,東京都千代田区神田錦町3-7-2東京堂錦町ビルディング7F?9F
R_銀座三丁目,東京都中央区銀座3-4-1大倉別館5F
R_銀座一丁目,"東京都中央区銀座1-16-7銀座大栄ビル5F,6F"
R_日本橋兜町,東京都中央区日本橋兜町5-1兜町第1平和ビル3F
R_オープンオフィス日本橋箱崎,東京都中央区日本橋箱崎町27-9オフィスヴェラ日本橋箱崎1F
R_オープンオフィス日本橋セントラル,"東京都中央区日本橋1-2-10東洋ビル3F,5F,6F"
R_池袋,東京都豊島区南池袋1-16-15ダイヤゲート池袋5F
R_オープンオフィス池袋南,東京都豊島区南池袋1-16-20ぬかりやビル6F
R_新橋東急ビル,"東京都港区新橋4-21-3新橋東急ビル2F,3F"
R_オープンオフィス西新橋,東京都港区新橋4-31-3第3名和ビル1F?9F
R_Signature 六本木ヒルズ森タワー,東京都港区六本木6-10-1六本木ヒルズ森タワー16F
R_六本木駅前,東京都港区六本木6-1-20六本木電気ビル5F?7F
R_青山ツイン,東京都港区南青山1-1-1新青山ビル東館7F
R_オープンオフィス南青山,東京都港区南青山3-5-2南青山第一韮澤ビル3F
R_オープンオフィス青山セントラル,"東京都港区南青山2-2-8DFビル5F,6F,10F"
R_オープンオフィス乃木坂,東京都港区南青山1-20-2乃木坂ビジネスコート1F?3F
